DataKey,label,(times),DATE,SPAD,LAI,oldTotEarNum,totEarWeight,totEarNum,totalSeedNum,totalSeedWeightBeforeDry,totalSeedWeightAfterDry
202503210851_57,57,2,21/3/2025,53.7,,342,894.64,391,13015,511.6,511.6
202503210851_58,58,2,21/3/2025,53.3,,283,940.89,412,15276,620.4,620.4
202503210851_59,59,2,21/3/2025,54.8,,390,583.37,255,8387,340.8,340.8
202503210851_60,60,2,21/3/2025,54.0,,319,964.19,422,15682,634.4,634.4
202503260955_1,1,3,26/3/2025,47.1,,594,978.48,428,14332,509.1,509.1
202503260955_2,2,3,26/3/2025,51.1,,442,752.59,329,12649,455.2,455.2
202503260955_3,3,3,26/3/2025,49.7,,340,724.59,317,8320,271.5,271.5
202503260955_4,4,3,26/3/2025,50.4,,436,865.89,379,12101,439.2,439.2
202503260955_5,5,3,26/3/2025,49.1,,438,986.5,432,16232,568.8,568.8
202503260955_6,6,3,26/3/2025,56.4,,541,1200.58,525,18793,665.4,665.4
202503260955_7,7,3,26/3/2025,50.0,,322,737.74,323,18140,642.7,642.7
202503260955_8,8,3,26/3/2025,50.2,,452,1029.47,450,11306,375.9,375.9
202503260955_9,9,3,26/3/2025,52.5,,560,1186.72,519,8326,295.2,295.2
202503260955_10,10,3,26/3/2025,51.7,,487,938.33,411,14029,518.5,518.5
202503260955_11,11,3,26/3/2025,50.7,,437,1334.87,584,19844,774,774
202503260955_12,12,3,26/3/2025,53.6,,446,828.36,362,12197,441.9,441.9
202503260955_13,13,3,26/3/2025,53.4,,390,972.23,425,15863,569,569
202503260955_14,14,3,26/3/2025,51.4,,371,1076.89,471,16373,639.9,639.9
202503260955_15,15,3,26/3/2025,51.8,,530,1380.04,604,18955,795.1,795.1
202503260955_16,16,3,26/3/2025,46.6,,325,760,333,11706,466.3,466.3
202503260955_17,17,3,26/3/2025,48.6,,406,1036.17,453,16574,679.5,679.5
202503260955_18,18,3,26/3/2025,48.7,,376,835.77,366,10869,425.1,425.1
202503260955_19,19,3,26/3/2025,49.0,,481,872.05,382,13736,492.5,492.5
202503260955_20,20,3,26/3/2025,47.0,,399,915.38,401,11978,461.4,461.4
202503260955_21,21,3,26/3/2025,46.2,,434,866.14,379,11435,410,410
202503260955_22,22,3,26/3/2025,55.1,,328,599.87,262,8056,268.3,268.3
202503260955_23,23,3,26/3/2025,56.5,,347,1019.55,446,12866,490.1,490.1
202503260955_24,24,3,26/3/2025,51.7,,588,1185.78,519,14804,612.5,612.5
202503260955_25,25,3,26/3/2025,53.1,,435,826.52,362,11871,452.2,452.2
202503260955_26,26,3,26/3/2025,53.3,,407,1048.12,459,13984,534.9,534.9
202503260955_27,27,3,26/3/2025,56.3,,424,658.45,288,9040,332.1,332.1
202503260955_28,28,3,26/3/2025,53.7,,419,1048.12,459,14474,6147,6147
